s_no,monument,asi_circle,period,year_index,covid_year,recovery_year,post_covid,lag_1_total,lag_2_total,lag_3_total,lag_2_was_missing,lag_3_was_missing,rolling_mean_2,rolling_mean_3,previous_growth_rate,recent_trend,lag_1_domestic_share,n_prior_obs,log_lag_1,target_total,baseline_pred
89,"Aga Khan Palace Building, Pune",Mumbai,2020-21,1,1,0,0,229203.0,229203.0,229203.0,1,1,229203.0,229203.0,0.0,0.0,0.9595816808680515,1,12.342367715677417,19018.0,229203.0
89,"Aga Khan Palace Building, Pune",Mumbai,2021-22,2,0,1,0,19018.0,229203.0,229203.0,0,1,124110.5,124110.5,-0.9170255188631912,-0.9170255188631912,0.9971080029445788,2,9.85319375848166,41347.0,19018.0
89,"Aga Khan Palace Building, Pune",Mumbai,2022-23,3,0,0,1,41347.0,19018.0,229203.0,0,0,30182.5,96522.66666666667,1.174098222736355,1.174098222736355,0.9952354463443539,3,10.629779331688376,190528.0,41347.0
89,"Aga Khan Palace Building, Pune",Mumbai,2023-24,4,0,0,1,190528.0,41347.0,19018.0,0,0,115937.5,83631.0,3.608024766004789,3.608024766004789,0.9836192055760833,3,12.157559692934063,253158.0,190528.0
89,"Aga Khan Palace Building, Pune",Mumbai,2024-25,5,0,0,1,253158.0,190528.0,41347.0,0,0,221843.0,161677.66666666666,0.32871808867987906,0.32871808867987906,0.9856018770886166,3,12.441773028810339,218229.0,253158.0
56,"Ibrahim Rauza, Vijayapura",Dharwad,2020-21,1,1,0,0,156855.0,156855.0,156855.0,1,1,156855.0,156855.0,0.0,0.0,0.9917758439322941,1,11.963083465995258,57771.0,156855.0
56,"Ibrahim Rauza, Vijayapura",Dharwad,2021-22,2,0,1,0,57771.0,156855.0,156855.0,0,1,107313.0,107313.0,-0.6316916897771827,-0.6316916897771827,0.9997922833255439,2,10.964259508221057,102114.0,57771.0
56,"Ibrahim Rauza, Vijayapura",Dharwad,2022-23,3,0,0,1,102114.0,57771.0,156855.0,0,0,79942.5,105580.0,0.7675650412836891,0.7675650412836891,0.9998041404704546,3,11.533854908151259,187755.0,102114.0
56,"Ibrahim Rauza, Vijayapura",Dharwad,2023-24,4,0,0,1,187755.0,102114.0,57771.0,0,0,144934.5,115880.0,0.838680298489923,0.838680298489923,0.9965699981358686,3,12.1428985265059,218231.0,187755.0
56,"Ibrahim Rauza, Vijayapura",Dharwad,2024-25,5,0,0,1,218231.0,187755.0,102114.0,0,0,202993.0,169366.66666666666,0.1623179143032143,0.1623179143032143,0.9949823810549372,3,12.29331399607386,189456.0,218231.0
