s_no,asi_circle,monument,period,year_index,domestic_visitors,foreign_visitors,total_visitors,flag_source_anomaly,flag_likely_extraction_error,flag_incomplete_pair,exclude_from_training,covid_year,recovery_year,post_covid
89,Mumbai,"Aga Khan Palace Building, Pune",2019-20,0,219939.0,9264.0,229203.0,False,False,False,False,0,0,0
89,Mumbai,"Aga Khan Palace Building, Pune",2020-21,1,18963.0,55.0,19018.0,False,False,False,False,1,0,0
89,Mumbai,"Aga Khan Palace Building, Pune",2021-22,2,41150.0,197.0,41347.0,False,False,False,False,0,1,0
89,Mumbai,"Aga Khan Palace Building, Pune",2022-23,3,187407.0,3121.0,190528.0,False,False,False,False,0,0,1
89,Mumbai,"Aga Khan Palace Building, Pune",2023-24,4,249513.0,3645.0,253158.0,False,False,False,False,0,0,1
89,Mumbai,"Aga Khan Palace Building, Pune",2024-25,5,214392.0,3837.0,218229.0,False,False,False,False,0,0,1
2,Agra,Agra Fort,2019-20,0,1627154.0,386522.0,2013676.0,False,False,False,False,0,0,0
2,Agra,Agra Fort,2020-21,1,371242.0,2810.0,374052.0,False,False,False,False,1,0,0
2,Agra,Agra Fort,2021-22,2,1027462.0,13598.0,1041060.0,False,False,False,False,0,1,0
2,Agra,Agra Fort,2022-23,3,1722213.0,139400.0,1861613.0,False,False,False,False,0,0,1
2,Agra,Agra Fort,2023-24,4,1410397.0,218144.0,1628541.0,False,False,False,False,0,0,1
2,Agra,Agra Fort,2024-25,5,1545550.0,224924.0,1770474.0,False,False,False,False,0,0,1
114,Guwahati,Ahom Raja’s Palace,2019-20,0,44700.0,175.0,44875.0,False,False,False,False,0,0,0
114,Guwahati,Ahom Raja’s Palace,2020-21,1,25443.0,69.0,25512.0,False,False,False,False,1,0,0
114,Guwahati,Ahom Raja’s Palace,2021-22,2,34640.0,29.0,34669.0,False,False,False,False,0,1,0
114,Guwahati,Ahom Raja’s Palace,2022-23,3,133792.0,151.0,133943.0,False,False,False,False,0,0,1
114,Guwahati,Ahom Raja’s Palace,2023-24,4,107024.0,160.0,107184.0,False,False,False,False,0,0,1
114,Guwahati,Ahom Raja’s Palace,2024-25,5,123656.0,175.0,123831.0,False,False,False,False,0,0,1
80,Aurangabad,Ajanta Caves,2019-20,0,273344.0,15899.0,289243.0,False,False,False,False,0,0,0
80,Aurangabad,Ajanta Caves,2020-21,1,47554.0,82.0,47636.0,False,False,False,False,1,0,0
80,Aurangabad,Ajanta Caves,2021-22,2,138503.0,662.0,139165.0,False,False,False,False,0,1,0
80,Aurangabad,Ajanta Caves,2022-23,3,401086.0,10437.0,411523.0,False,False,False,False,0,0,1
80,Aurangabad,Ajanta Caves,2023-24,4,452182.0,18829.0,471011.0,False,False,False,False,0,0,1
80,Aurangabad,Ajanta Caves,2024-25,5,442065.0,20855.0,462920.0,False,False,False,False,0,0,1
4,Agra,Akbar Tomb Sikandra,2019-20,0,229270.0,19625.0,248895.0,False,False,False,False,0,0,0
4,Agra,Akbar Tomb Sikandra,2020-21,1,99509.0,321.0,99830.0,False,False,False,False,1,0,0
4,Agra,Akbar Tomb Sikandra,2021-22,2,187182.0,1028.0,188210.0,False,False,False,False,0,1,0
4,Agra,Akbar Tomb Sikandra,2022-23,3,267509.0,9175.0,276684.0,False,False,False,False,0,0,1
4,Agra,Akbar Tomb Sikandra,2023-24,4,199310.0,15914.0,215224.0,False,False,False,False,0,0,1
4,Agra,Akbar Tomb Sikandra,2024-25,5,218139.0,16368.0,234507.0,False,False,False,False,0,0,1
141,Amaravati,Amaravati,2019-20,0,8038.0,285.0,8323.0,False,False,False,False,0,0,0
141,Amaravati,Amaravati,2020-21,1,1864.0,0.0,1864.0,False,False,False,False,1,0,0
141,Amaravati,Amaravati,2021-22,2,3741.0,17.0,3758.0,False,False,False,False,0,1,0
141,Amaravati,Amaravati,2022-23,3,5584.0,0.0,5584.0,False,False,False,False,0,0,1
141,Amaravati,Amaravati,2023-24,4,6181.0,106.0,6287.0,False,False,False,False,0,0,1
141,Amaravati,Amaravati,2024-25,5,7819.0,271.0,8090.0,False,False,False,False,0,0,1
100,Nagpur,"Ancient Buddhist Remains, comprising monstery stupa rock sculptures inscriptions etc mansar",2019-20,0,1596.0,65.0,1661.0,False,False,False,False,0,0,0
100,Nagpur,"Ancient Buddhist Remains, comprising monstery stupa rock sculptures inscriptions etc mansar",2020-21,1,8.0,0.0,8.0,False,False,False,False,1,0,0
100,Nagpur,"Ancient Buddhist Remains, comprising monstery stupa rock sculptures inscriptions etc mansar",2021-22,2,,8.0,,False,False,True,True,0,1,0
100,Nagpur,"Ancient Buddhist Remains, comprising monstery stupa rock sculptures inscriptions etc mansar",2022-23,3,3685.0,33.0,3718.0,False,False,False,False,0,0,1
100,Nagpur,"Ancient Buddhist Remains, comprising monstery stupa rock sculptures inscriptions etc mansar",2023-24,4,3901.0,128.0,4029.0,False,False,False,False,0,0,1
100,Nagpur,"Ancient Buddhist Remains, comprising monstery stupa rock sculptures inscriptions etc mansar",2024-25,5,3552.0,92.0,3644.0,False,False,False,False,0,0,1
22,Sarnath,Ancient Buddhist Site know as Chaukhandi stupa,2019-20,0,55144.0,5186.0,60330.0,False,False,False,False,0,0,0
22,Sarnath,Ancient Buddhist Site know as Chaukhandi stupa,2020-21,1,14956.0,46.0,15002.0,False,False,False,False,1,0,0
