Date,Month,Year,Season,Day_of_Week,Is_Weekend,Weather_Type,Location_City,Location_State,Country,Zone,Place_Name,Place_Type,Establishment_Year,Google_Rating,Significance,Airport_Within_50km,Weekly_Off,DSLR_Allowed,Review_Count_Lakhs,Visitors_Count,Ticket_Price,Revenue,Tourist_Type,Rating
2023-02-21,February,2023,Winter,Tuesday,No,Pleasant,Goa,Goa,India,Southern,Chapora Fort,Fort,1617,4.3,Historical,Yes,None,Yes,0.19,330,0,0,International,4.3
2023-06-28,June,2023,Monsoon,Wednesday,No,Rainy,Guwahati,Assam,India,North Eastern,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,4.3,Wildlife,Yes,None,Yes,0.037,72,492,35424,International,4.3
2023-02-24,February,2023,Winter,Friday,No,Pleasant,Bhubaneswar,Odisha,India,Eastern,Nandankanan Zoological Park,Zoo,1960,4.4,Wildlife,Yes,Monday,Yes,0.81,1006,47,47282,Domestic,4.4
2024-07-23,July,2024,Monsoon,Tuesday,No,Rainy,Sambalpur,Odisha,India,Eastern,Hirakud Dam,Dam,1957,4.4,Engineering Marvel,No,None,Yes,0.01,15,0,0,Domestic,4.4
2024-03-16,March,2024,Summer,Saturday,Yes,Warm,Jaipur,Rajasthan,India,Northern,Hawa Mahal,Palace,1799,4.5,Architectural,Yes,None,Yes,1.3,1340,46,61640,International,4.5
2024-06-25,June,2024,Monsoon,Tuesday,No,Cloudy,Bengaluru,Karnataka,India,Southern,Orion Mall,Mall,2012,4.3,Shopping,Yes,None,Yes,1.8,341,0,0,Domestic,4.3
2023-06-11,June,2023,Monsoon,Sunday,Yes,Humid,Meerut,Uttar Pradesh,India,Central,Augarnath Temple,Temple,Unknown,4.7,Religious,Yes,None,No,0.045,157,0,0,Domestic,4.7
2023-05-23,May,2023,Summer,Tuesday,No,Sunny,Kochi,Kerala,India,Southern,Fort Kochi,Site,1503,4.3,Historical,Yes,None,Yes,0.1,106,0,0,Domestic,4.3
2024-04-21,April,2024,Summer,Sunday,Yes,Sunny,Hyderabad,Telangana,India,Southern,Nehru Zoological Park,Zoo,1963,4.1,Wildlife,Yes,None,Yes,0.86,836,48,40128,Domestic,4.1
2024-03-05,March,2024,Summer,Tuesday,No,Sunny,Agra,Uttar Pradesh,India,Central,Taj Mahal,Mausoleum,1632,4.6,Historical,Yes,Friday,Yes,2.25,2150,48,103200,Domestic,4.6
2025-12-29,December,2025,Winter,Monday,No,Snowy,Mount Abu,Rajasthan,India,Northern,Dilwara Temples,Temple,1100,4.5,Religious,No,None,No,0.05,149,0,0,Domestic,4.5
2024-03-25,March,2024,Summer,Monday,No,Pleasant,Dzükou Valley,Nagaland,India,North Eastern,Dzükou Valley,Valley,Unknown,4.5,Trekking,No,None,Yes,0.01,174,0,0,Domestic,4.5
2025-04-01,April,2025,Summer,Tuesday,No,Partly Cloudy,Bir Billing,Himachal Pradesh,India,Northern,Paragliding Site,Adventure Sport,2005,4.7,Adventure,No,None,Yes,0.01,144,2283,328752,Domestic,4.7
2025-03-21,March,2025,Summer,Friday,No,Warm,Kadapa,Andhra Pradesh,India,Southern,Gandikota Fort,Fort,Unknown,4.4,Historical,No,None,Yes,0.015,192,0,0,Domestic,4.4
2024-06-22,June,2024,Monsoon,Saturday,Yes,Cloudy,Auroville,Puducherry,India,Southern,Auroville,Township,1968,4.0,Cultural,Yes,None,Yes,0.035,50,0,0,Domestic,4.0
2025-11-09,November,2025,Autumn,Sunday,Yes,Pleasant,Vadodara,Gujarat,India,Western,Laxmi Vilas Palace,Palace,1890,4.5,Historical,Yes,Monday,Yes,0.17,140,214,29960,Domestic,4.5
2023-05-11,May,2023,Summer,Thursday,No,Warm,Sundarbans,West Bengal,India,Eastern,Sundarbans National Park,National Park,1984,4.6,Wildlife,No,None,Yes,0.065,161,59,9499,Domestic,4.6
2023-08-23,August,2023,Monsoon,Wednesday,No,Humid,Delhi,Delhi,India,Northern,Chandni Chowk,Market,1700,4.1,Market,Yes,Sunday,Yes,0.25,260,0,0,Domestic,4.1
2025-06-09,June,2025,Monsoon,Monday,No,Foggy,Shimla,Himachal Pradesh,India,Northern,The Ridge,Scenic Point,Unknown,4.8,Recreational,Yes,None,Yes,0.03,35,0,0,International,4.8
2025-10-22,October,2025,Autumn,Wednesday,No,Pleasant,Matheran,Maharashtra,India,Western,Echo Point,Viewpoint,1828,4.5,Nature,Yes,None,Yes,0.02,90,0,0,Domestic,4.5
2025-11-05,November,2025,Autumn,Wednesday,No,Clear,dalhousie,Himachal Pradesh,India,Northern,Dalai Lama Temple,Temple,1959,4.8,Religious,Yes,None,No,0.15,449,0,0,Domestic,4.8
2025-12-22,December,2025,Winter,Monday,No,Pleasant,Majuli,Assam,India,North Eastern,Majuli Island,River Island,Unknown,4.5,Cultural,No,None,Yes,0.01,41,0,0,Domestic,4.5
2024-09-21,September,2024,Monsoon,Saturday,Yes,Humid,Ayodhya,Uttar Pradesh,India,Central,Ram Janmabhoomi,Religious Site,Unknown,4.6,Religious,Yes,None,No,0.025,65,0,0,Domestic,4.6
2023-05-22,May,2023,Summer,Monday,No,Hot,Visakhapatnam,Andhra Pradesh,India,Southern,Rishikonda Beach,Beach,Unknown,4.5,Recreational,Yes,None,Yes,0.39,323,0,0,International,4.5
2023-12-05,December,2023,Winter,Tuesday,No,Pleasant,Agartala,Tripura,India,North Eastern,Ujjayanta Palace,Palace,1901,4.4,Historical,Yes,Monday,Yes,0.035,133,10,1330,Domestic,4.4
2024-02-16,February,2024,Winter,Friday,No,Clear,Majuli,Assam,India,North Eastern,Majuli Island,River Island,Unknown,4.8,Cultural,No,None,Yes,0.01,119,0,0,Domestic,4.8
2025-11-25,November,2025,Autumn,Tuesday,No,Pleasant,Puri,Odisha,India,Eastern,Jagannath Temple,Temple,Unknown,4.5,Religious,Yes,None,No,1.0,1522,0,0,Domestic,4.5
2024-04-16,April,2024,Summer,Tuesday,No,Hot,Delhi,Delhi,India,Northern,Garden of Five Senses,Park,2003,3.9,Botanical,Yes,None,Yes,0.23,320,33,10560,Domestic,3.9
2023-03-06,March,2023,Summer,Monday,No,Hot,Hyderabad,Telangana,India,Southern,Hussain Sagar Lake,Lake,1563,4.2,Scenic,Yes,None,Yes,0.5,473,0,0,Domestic,4.2
2024-03-14,March,2024,Summer,Thursday,No,Hot,Visakhapatnam,Andhra Pradesh,India,Southern,Rishikonda Beach,Beach,Unknown,4.7,Recreational,Yes,None,Yes,0.39,313,0,0,Domestic,4.7
2025-08-26,August,2025,Monsoon,Tuesday,No,Cloudy,Deoghar,Jharkhand,India,Eastern,Baba Baidyanath Temple,Temple,Unknown,4.6,Religious,Yes,None,Yes,1.8,659,0,0,Domestic,4.6
2025-06-01,June,2025,Monsoon,Sunday,Yes,Cloudy,Kolkata,West Bengal,India,Eastern,Science City Kolkata,Science,1997,4.5,Educational,Yes,None,Yes,0.88,500,60,30000,International,4.5
2023-05-05,May,2023,Summer,Friday,No,Sunny,Kolkata,West Bengal,India,Eastern,Belur Math,Site,1898,4.8,Religious,Yes,None,Yes,0.47,296,0,0,Domestic,4.8
2024-01-28,January,2024,Winter,Sunday,Yes,Pleasant,Alibaug,Maharastra,India,Western,Alibaug Beach,Beach,Unknown,4.1,Recreational,Yes,None,Yes,0.05,280,0,0,Domestic,4.1
2023-06-04,June,2023,Monsoon,Sunday,Yes,Rainy,Alibaug,Maharastra,India,Western,Alibaug Beach,Beach,Unknown,4.4,Recreational,Yes,None,Yes,0.05,59,0,0,International,4.4
2023-07-11,July,2023,Monsoon,Tuesday,No,Humid,Delhi,Delhi,India,Northern,Red Fort,Fort,1648,4.6,Historical,Yes,None,Yes,1.5,525,33,17325,Domestic,4.6
2023-12-04,December,2023,Winter,Monday,No,Cool,Bangalore,Karnataka,India,Southern,Vidhana Soudha,Government Building,1956,4.5,Architectural,Yes,None,No,0.8,882,0,0,Domestic,4.5
2024-08-07,August,2024,Monsoon,Wednesday,No,Humid,Keonjhar,Odisha,India,Eastern,Badaghagara Waterfall,Waterfall,Unknown,4.5,Nature,No,None,Yes,0.018,86,0,0,Domestic,4.5
2025-09-23,September,2025,Monsoon,Tuesday,No,Rainy,Bastar,Chhattisgarh,India,Central,Chitrakote Falls,Waterfall,Unknown,4.8,Nature,No,None,Yes,0.19,85,0,0,Domestic,4.8
2023-05-05,May,2023,Summer,Friday,No,Hot,Ranchi,Jharkhand,India,Eastern,Pahari Mandir,Temple,Unknown,4.6,Religious,Yes,None,Yes,0.13,248,0,0,International,4.6
