s_no,asi_circle,monument,domestic_2019_20,foreign_2019_20,domestic_2020_21,foreign_2020_21,domestic_2021_22,foreign_2021_22,domestic_2022_23,foreign_2022_23,domestic_2023_24,foreign_2023_24,domestic_2024_25,foreign_2024_25,flag_2022_23_mismatch,flag_source_anomaly
1,Agra,Taj Mahal,4429710.0,645415.0,1259892.0,9034.0,3294611,38922.0,5052712.0,396900.0,6098876,681339,6264225,645624,False,False
2,Agra,Agra Fort,1627154.0,386522.0,371242.0,2810.0,1027462,13598.0,1722213.0,139400.0,1410397,218144,1545550,224924,False,False
3,Agra,Fatehpur Sikri,454376.0,184751.0,107835.0,574.0,157253,2122.0,443689.0,62238.0,315212,93963,443158,97441,False,False
4,Agra,Akbar Tomb Sikandra,229270.0,19625.0,99509.0,321.0,187182,1028.0,267509.0,9175.0,199310,15914,218139,16368,False,False
5,Agra,"Mariam Tomb, Sikandra",22517.0,414.0,9765.0,31.0,17537,98.0,39335.0,338.0,18201,162,18159,203,False,False
6,Agra,Itimad-ud- Daulah Tomb,132800.0,82692.0,41016.0,410.0,90711,1927.0,152495.0,44390.0,186037,84326,185282,90367,False,False
7,Agra,Ram Bagh,84051.0,355.0,18599.0,54.0,30965,95.0,67489.0,1841.0,56792,2073,45707,546,False,False
8,Agra,Mehtab Bagh,178574.0,62325.0,62652.0,544.0,86213,1653.0,111302.0,17079.0,116458,24584,129153,27516,False,False
9,Agra,Mausoleum,474462.0,12536.0,91185.0,321.0,317653,643.0,766014.0,882.0,709754,4142,578712,8218,False,False
10,Lucknow,Site of Sahet Mahet,74597.0,13628.0,27201.0,35.0,51796,306.0,93790.0,43360.0,108968,71120,105345,73312,False,False
11,Lucknow,Residency Buildings,116348.0,3367.0,57194.0,37.0,111829,130.0,152480.0,1789.0,169387,3571,156542,4220,False,False
12,Lucknow,Piprahwa & Ganwaria,38342.0,3098.0,12062.0,3.0,23153,101.0,37817.0,5620.0,46824,18061,38375,19317,False,False
13,Jhansi,"Gupta & Varah Temple, Deogarh",1348.0,32.0,931.0,0.0,1636,0.0,934.0,13.0,1844,18,2238,20,False,False
14,Jhansi,Kalinjar Fort,81507.0,137.0,80291.0,27.0,88603,7.0,95957.0,162.0,116701,192,128447,387,False,False
15,Jhansi,Rani Lakshmi Bai Mahal,15954.0,50.0,5712.0,5.0,10836,0.0,15470.0,27.0,23082,43,26359,43,False,False
16,Jhansi,Rani Jhansi Fort,361294.0,705.0,174622.0,107.0,310233,58.0,409822.0,292.0,470724,611,521136,625,False,False
17,Sarnath,Lord Cornwallis Tomb,18318.0,85.0,5289.0,9.0,7086,14.0,9148.0,90.0,15008,125,25710,113,False,False
18,Sarnath,Old Fort (Shahi Fort) Jaunpur,198922.0,114.0,67163.0,127.0,123344,201.0,167409.0,343.0,181562,272,150737,115,False,False
19,Sarnath,Observatory of Man Singh,83059.0,954.0,21379.0,11.0,36267,28.0,61542.0,511.0,135280,1179,85382,913,False,False
20,Sarnath,Excavated Remains at Sarnath,485309.0,100590.0,170590.0,384.0,328684,1617.0,755062.0,54743.0,776827,76785,744213,59086,False,False
21,Sarnath,Tomb of Lal Khan,6819.0,9.0,1972.0,2.0,2515,4.0,4804.0,32.0,4480,20,5907,50,False,False
22,Sarnath,Ancient Buddhist Site know as Chaukhandi stupa,55144.0,5186.0,14956.0,46.0,,,,,47495,5816,36423,5351,False,False
23,Thrissur,"Bekal Fort, Pallikkare Distt. Kasargod",334846.0,728.0,115333.0,242.0,200127,133.0,384008.0,498.0,366905,534,374766,516,False,False
24,Thrissur,Mattancherry Palace Museum Kochi,300465.0,79355.0,23026.0,177.0,65066,1118.0,281735.0,28218.0,-,-,-,-,False,False
25,Thrissur,Fort Palakkad,174589.0,241.0,43927.0,26.0,96142,10.0,258812.0,252.0,295091,410,265090,434,False,False
26,Thrissur,"Fort St. Angelo, Kannur",234518.0,3305.0,65683.0,115.0,152543,59.0,270433.0,4572.0,240382,818,242895,1074,False,False
27,Chennai,"Group of Monuments, Mamallapuram",1260358.0,53422.0,808145.0,29145.0,1142150,7532.0,1507208.0,28033.0,1212022,44943,967048,41416,False,False
28,Chennai,Gingee Fort,107073.0,1736.0,125109.0,2272.0,188496,555.0,179289.0,1896.0,169718,1745,149329,1411,False,False
29,Chennai,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",43733.0,1063.0,58206.0,868.0,81313,258.0,62765.0,1014.0,49903,1109,42684,1324,False,False
30,Chennai,"Fort, St. George",,,,,,,,,24254,5474,24664,7313,False,False
31,Thiruchirapalli,"Fort on Rock, Dindigul",24657.0,94.0,25603.0,99.0,27368,4.0,36071.0,57.0,31763,77,36711,241,False,False
32,Thiruchirapalli,Moovarkoil Kodambalur,19114.0,46.0,1476.0,9.0,829,0.0,1874.0,4.0,2277,5,2517,14,False,False
33,Thiruchirapalli,"Rock Cut Jain Temple, Sittanavasal",31876.0,188.0,41791.0,235.0,44408,49.0,56425.0,116.0,54583,230,44538,173,False,False
34,Thiruchirapalli,"Tirumalai Nayak's Palace, Srivilliputhur",30046.0,460.0,217.0,3.0,530,0.0,856.0,0.0,911,3,927,0,False,False
35,Thiruchirapalli,"Natural Caven with Inscription Eladipattam, Sittannavasal",23928.0,645.0,2490.0,19.0,22800,33.0,19705.0,51.0,20314,28,16744,43,False,False
36,Thiruchirapalli,Fort Museum Tirumayam,294829.0,5259.0,41487.0,1555.0,62622,27.0,93833.0,713.0,93109,694,90100,990,False,False
37,Thiruchirapalli,Fort Vattakottai,159492.0,340.0,5058.0,36.0,53200,0.0,106838.0,158.0,114090,242,99669,366,False,False
38,Bhopal,"Buddhist Caves Bagh, Mandu",19920.0,42.0,23692.0,0.0,27260,1.0,29056.0,6.0,25369,26,25091,59,False,False
39,Bhopal,The Palace in the Fort Burhanpur,47305.0,272.0,13926.0,27.0,31284,76.0,36808.0,165.0,32577,280,33258,410,False,False
40,Bhopal,"Hoshang Shah’s Tomb,",130094.0,2017.0,57769.0,39.0,113132,107.0,93038.0,705.0,96548,1176,80429,1274,False,False
41,Bhopal,"Group of Monuments, Royal Palace Mandu",408302.0,2427.0,181868.0,128.0,344821,92.0,319046.0,1027.0,390713,1609,372116,1740,False,False
42,Bhopal,"Roopmati’s Pavilion,",392485.0,1884.0,148680.0,91.0,336231,55.0,282678.0,763.0,327738,1031,276403,1037,False,False
43,Bhopal,"Buddhist Monuments, Sanchi",250706.0,3986.0,58979.0,41.0,118208,171.0,266528.0,3457.0,300068,11692,296042,19490,False,False
44,Bhopal,Gwalior Fort,255734.0,7744.0,101464.0,130.0,203163,209.0,274674.0,3973.0,310867,7933,318649,9660,False,False
45,Bhopal,"Buddhist Cave No.01 to 51, Dhamnar, Tehsil Garoth",32578.0,4.0,12303.0,13.0,24083,65.0,31137.0,65.0,33069,72,34804,134,False,False
46,Bhopal,"Badal Mahal Gateway, Chanderi",13708.0,89.0,9689.0,5.0,11027,6.0,8637.0,51.0,2887,9,14607,125,False,False
47,Bhopal,Caves 1 to 20 Udaygiri Vidisha,53546.0,741.0,11601.0,10.0,35530,42.0,60441.0,539.0,65392,726,68753,878,False,False
48,Bhopal,Bir Singh Palace Datia,23382.0,736.0,14045.0,12.0,26306,29.0,42455.0,433.0,43841,763,42443,943,False,False
49,Bhopal,"Ancient site and Adamgarh Rock Shelter, Kalamdi Rasuliya and Kishanpur",23354.0,18.0,16546.0,8.0,18655,41.0,17962.0,57.0,20248,0,21336,1,False,False
50,Bhopal,"Western Group of Temples, Khajuraho",244995.0,41741.0,128515.0,275.0,243475,795.0,419259.0,15271.0,436517,27082,523075,38478,False,False
51,Bhopal,"Group of Temple, Paramesh var Shiv and Karan Temple, Amarkantak",57408.0,42.0,23598.0,13.0,30981,133.0,44125.0,94.0,50251,145,49323,152,False,False
