period,no_of_ticketed_asi_monuments,domestic_visitors,foreign_visitors,total_visitors,source
2004,116,20356940.0,1788753.0,22145693,Archaeological Survey of India (ASI)
2005,116,21035864.0,2122436.0,23158300,Archaeological Survey of India (ASI)
2006,116,23815252.0,2250502.0,26065754,Archaeological Survey of India (ASI)
2007,116,23450419.0,2614254.0,26064673,Archaeological Survey of India (ASI)
2008,117,28786608.0,2679763.0,31466371,Archaeological Survey of India (ASI)
2009,119,30804103.0,2195382.0,32999485,Archaeological Survey of India (ASI)
2010,116,35770242.0,2998175.0,38768417,Archaeological Survey of India (ASI)
2011,116,40534481.0,2948065.0,43482546,Archaeological Survey of India (ASI)
2012,116,43259075.0,3064778.0,46323853,Archaeological Survey of India (ASI)
2013,116,43019998.0,2995852.0,46015850,Archaeological Survey of India (ASI)
2014,116,45425859.0,2792272.0,48218131,Archaeological Survey of India (ASI)
2015,116,50988730.0,2620228.0,53608958,Archaeological Survey of India (ASI)
2016,116,40167938.0,2379389.0,42547327,Archaeological Survey of India (ASI)
2016-17,116,45076706.0,2982601.0,48059307,Archaeological Survey of India (ASI)
2017-18,116,48394768.0,3397673.0,51792441,Archaeological Survey of India (ASI)
2018-19,116,47316029.0,3576837.0,50892866,Archaeological Survey of India (ASI)
2019-20,116,43607075.0,2756561.0,46363636,Archaeological Survey of India (ASI)
2020-21,116,13153076.0,415859.0,13568935,Archaeological Survey of India (ASI)
2021-22,144,26046891.0,116114.0,26163005,Archaeological Survey of India (ASI)
2022-23,144,47901021.0,1445363.0,49346384,Archaeological Survey of India (ASI)
2023-24,145,53090007.0,2580640.0,55670647,Archaeological Survey of India (ASI)
2024-25,145,54231255.0,2415000.0,56646255,Archaeological Survey of India (ASI)
