official_name,kaggle_name,state,asi_circle,match_method,match_confidence,validated
Taj Mahal,Taj Mahal,Uttar Pradesh,Agra,manual_alias,1.0,True
Agra Fort,Agra Fort,Uttar Pradesh,Agra,normalized_exact,0.95,True
Fatehpur Sikri,,,Agra,unmatched,0.0,False
Akbar Tomb Sikandra,,,Agra,unmatched,0.0,False
"Mariam Tomb, Sikandra",,,Agra,unmatched,0.0,False
Itimad-ud- Daulah Tomb,,,Agra,unmatched,0.0,False
Ram Bagh,,,Agra,unmatched,0.0,False
Mehtab Bagh,,,Agra,unmatched,0.0,False
Mausoleum,,,Agra,unmatched,0.0,False
Site of Sahet Mahet,,,Lucknow,unmatched,0.0,False
Residency Buildings,,,Lucknow,unmatched,0.0,False
Piprahwa & Ganwaria,,,Lucknow,unmatched,0.0,False
"Gupta & Varah Temple, Deogarh",,,Jhansi,unmatched,0.0,False
Kalinjar Fort,,,Jhansi,unmatched,0.0,False
Rani Lakshmi Bai Mahal,,,Jhansi,unmatched,0.0,False
Rani Jhansi Fort,,,Jhansi,unmatched,0.0,False
Lord Cornwallis Tomb,,,Sarnath,unmatched,0.0,False
Old Fort (Shahi Fort) Jaunpur,,,Sarnath,unmatched,0.0,False
Observatory of Man Singh,,,Sarnath,unmatched,0.0,False
Excavated Remains at Sarnath,,,Sarnath,unmatched,0.0,False
Tomb of Lal Khan,,,Sarnath,unmatched,0.0,False
Ancient Buddhist Site know as Chaukhandi stupa,,,Sarnath,unmatched,0.0,False
"Bekal Fort, Pallikkare Distt. Kasargod",,,Thrissur,unmatched,0.0,False
Mattancherry Palace Museum Kochi,,,Thrissur,unmatched,0.0,False
Fort Palakkad,,,Thrissur,unmatched,0.0,False
"Fort St. Angelo, Kannur",,,Thrissur,unmatched,0.0,False
"Group of Monuments, Mamallapuram",,,Chennai,unmatched,0.0,False
Gingee Fort,,,Chennai,unmatched,0.0,False
"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",,,Chennai,unmatched,0.0,False
"Fort, St. George",,,Chennai,unmatched,0.0,False
"Fort on Rock, Dindigul",,,Thiruchirapalli,unmatched,0.0,False
Moovarkoil Kodambalur,,,Thiruchirapalli,unmatched,0.0,False
"Rock Cut Jain Temple, Sittanavasal",,,Thiruchirapalli,unmatched,0.0,False
"Tirumalai Nayak's Palace, Srivilliputhur",,,Thiruchirapalli,unmatched,0.0,False
"Natural Caven with Inscription Eladipattam, Sittannavasal",,,Thiruchirapalli,unmatched,0.0,False
Fort Museum Tirumayam,,,Thiruchirapalli,unmatched,0.0,False
Fort Vattakottai,,,Thiruchirapalli,unmatched,0.0,False
"Buddhist Caves Bagh, Mandu",,,Bhopal,unmatched,0.0,False
The Palace in the Fort Burhanpur,,,Bhopal,unmatched,0.0,False
"Hoshang Shah’s Tomb,",,,Bhopal,unmatched,0.0,False
"Group of Monuments, Royal Palace Mandu",,,Bhopal,unmatched,0.0,False
"Roopmati’s Pavilion,",,,Bhopal,unmatched,0.0,False
